date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-06-25,106047.4,108168.4,105881.39,107361.26,107024.89,1.24%,14:08:00,00:39:00,51624120283.34,2134992217054.6,19883500.0
2025-06-24,105571.52,106316.83,104740.24,106045.63,105528.54,0.45%,17:03:00,08:19:00,48822986421.13,2108544440918.06,19883037.0
2025-06-23,100987.47,106116.86,99705.75,105577.77,102911.3,4.55%,22:31:00,16:38:00,65237759656.41,2099045443832.7,19882687.0
2025-06-22,102212.03,103351.63,98286.21,100987.14,100818.92,-1.2%,00:38:00,20:19:00,65536997200.85,2007868285979.24,19882350.0
2025-06-21,103315.08,104015.78,100973.06,102257.41,102494.42,-1.02%,10:37:00,23:47:00,38360555117.77,2032178962104.98,19881993.0
2025-06-20,104681.03,106539.38,102372.21,103309.6,104455.8,-1.31%,08:38:00,17:38:00,50951862476.19,2054066111075.51,19881571.0
2025-06-19,104886.77,105250.89,103940.78,104684.29,104595.84,-0.19%,05:08:00,17:06:00,37333806919.54,2081173353267.23,19881093.0
2025-06-18,104602.07,105581.85,103602.26,104883.33,104592.06,0.27%,05:30:00,19:01:00,47318089133.08,2085154632114.4,19880053.0
2025-06-17,106794.12,107750.19,103396.53,104601.12,105573.36,-2.05%,03:13:00,17:08:00,55964092175.52,2079279920319.98,19878000.0
2025-06-16,105555.59,108915.38,104997.62,106796.76,106956.5,1.18%,19:28:00,01:33:00,50366626944.57,2122853535351.76,19878000.0
2025-06-15,105464.84,106157.1,104519.88,105552.03,105338.49,0.08%,06:01:00,21:14:00,36744307741.93,2098234075783.26,19878000.0
2025-06-14,106108.09,106203.76,104379.37,105472.41,105291.56,-0.6%,00:54:00,20:11:00,38007870452.64,2096430090986.37,19878000.0
2025-06-13,105924.59,106182.55,102822.03,106090.97,104502.29,0.16%,23:46:00,01:12:00,69550440845.69,2109216518327.68,19878000.0
2025-06-12,108685.91,108780.7,105785.69,105929.05,107283.2,-2.54%,00:24:00,22:56:00,54843867967.5,2105569011167.09,19878000.0
